,State,Total Item/Bottle Count
0,Alabama,2024.0
1,Alaska,2057.0
2,Arizona,16378.0
3,Arkansas,6512.0
4,California,130312.0
5,Colordao,27802.0
6,Connecticut,24062.0
7,District of Columbia,8288.0
8,Delaware,1289.0
9,Florida,82961.0
10,Georgia,34693.0
11,Hawaii,9666.0
12,Idaho,3391.0
13,Illinois,51356.0
14,Indiana,17476.0
15,Iowa,5846.0
16,Kansas,7165.0
17,Kentucky,40.0
18,Louisiana,10558.0
19,Maine,5007.0
20,Maryland,29515.0
21,Massachusetts,43665.0
22,Michigan,36218.0
23,Minnesota,15040.0
24,Mississippi,6.0
25,Missouri,13633.0
26,Montana,2472.0
27,Nebraska,4753.0
28,Nevada,6802.0
29,New Hampshire,6015.0
30,New Jersey,61171.0
31,New Mexico,4487.0
32,New York,119653.0
33,North Carolina,28220.0
34,North Dakota,2042.0
35,Ohio,36798.0
36,Oklahoma,4694.0
37,Oregon,11952.0
38,Pennsylvania,82215.0
39,Rhode Island,7767.0
40,South Carolina,14478.0
41,South Dakota,1757.0
42,Tennessee,20300.0
43,Texas,66704.0
44,Utah,0.0
45,Vermont,3703.0
46,Virginia,40075.0
47,Washington,19176.0
48,West Virginia,2869.0
49,Wisconsin,13768.0
50,Wyoming,1988.0
